Gemüse1,Gemüse2,Nachbar
Möhren,Radieschen,gut
Möhren,Rettich,gut
Möhren,Salat,gut
Möhren,Schnittlauch,gut
Möhren,Tomaten,gut
Möhren,Zwiebeln,gut
Möhren,Möhren,schlecht
Möhren,Pfefferminze,schlecht
Lauch,Erdbeeren,gut
Lauch,Möhren,gut
Lauch,Knoblauch,gut
Lauch,Sellerie,gut
Lauch,Spinat,gut
Lauch,Tomaten,gut
Lauch,Bohnen,schlecht
Lauch,Erbsen,schlecht
Rettich,Bohnen,gut
Rettich,Möhren,gut
Rettich,Kresse,gut
Rettich,Salat,gut
Rettich,Tomaten,gut
Rettich,Gurken,schlecht
Radieschen,Bohnen,gut
Radieschen,Möhren,gut
Radieschen,Kresse,gut
Radieschen,Salat,gut
Radieschen,Tomaten,gut
Radieschen,Gurken,schlecht
Rote Bete,Bohnen,gut
Rote Bete,Bohnenkraut,gut
Rote Bete,Dill,gut
Rote Bete,Zwiebeln,gut
Rote Bete,Spinat,schlecht
Sellerie,Bohnen,gut
Sellerie,Erbsen,gut
Sellerie,Kohle,gut
Sellerie,Lauch,gut
Sellerie,Spinat,gut
Sellerie,Tomaten,gut
Sellerie,Sellerie,schlecht
Spinat,Bohnen,schlecht
Spinat,Erbsen,schlecht
Spinat,Erdbeeren,schlecht
Spinat,Kohle,schlecht
Spinat,Radieschen,schlecht
Spinat,Rettich,schlecht
Spinat,Salat,schlecht
Spinat,Sellerie,schlecht
Spinat,Rote Bete,schlecht
Spinat,Spinat,schlecht
Stangenbohnen,Gurken,gut
Stangenbohnen,Rote Bete,gut
Stangenbohnen,Salat,gut
Stangenbohnen,Sellerie,gut
Stangenbohnen,Spinat,gut
Stangenbohnen,Buschbohnen,schlecht
Stangenbohnen,Erbsen,schlecht
Stangenbohnen,Lauch,schlecht
Stangenbohnen,Zwiebeln,schlecht
Tomaten,Buschbohnen,gut
Tomaten,Möhren,gut
Tomaten,Kohle,gut
Tomaten,Lauch,gut
Tomaten,Pastinaken,gut
Tomaten,Petersilie,gut
Tomaten,Salat,gut
Tomaten,Sellerie,gut
Tomaten,Spinat,gut
Tomaten,Zwiebeln,gut
Tomaten,Rotkohl,schlecht
Tomaten,Erbsen,schlecht
Tomaten,Fenchel,schlecht
Tomaten,Rote Bete,schlecht
Zucchini,Basilikum,gut
Zucchini,Bohnen,gut
Zucchini,Zwiebeln,gut
Zucchini,Gurken,schlecht
Zwiebeln,Dill,gut
Zwiebeln,Gurken,gut
Zwiebeln,Möhren,gut
Zwiebeln,Knoblauch,gut
Zwiebeln,Tomaten,gut
Zwiebeln,Pastinaken,gut
Zwiebeln,Rosen,gut
Zwiebeln,Salat,gut
Zwiebeln,Bohnen,schlecht
Zwiebeln,Erbsen,schlecht
Zwiebeln,Kohle,schlecht
Zwiebeln,Lauch,schlecht
